"","INCIDENT_DATE","INCIDENT_NUMBER","LOCATION_DISTRICT","OFFENSE_CODE","OFFENSE_DESCRIPTION","LOCATION_ADDRESS","CITY","STATE","ZIP","LATITUDE","LONGITUDE","Location.1","ymd","month","year","wday","hour"
"130","07-02-2018 04:00:00 PM","2018-083569","53","23G","THEFT OF MOTOR VEHICLE PARTS","700 S PINE ST","LITTLE ROCK","AR",72205,34.7453,-92.316551,"700 S PINE ST
LITTLE ROCK, AR 72205
(34.7453, -92.316551)","2018-07-02","Jul",2018,"Mon",16
"131","07-06-2018 09:10:00 PM","2018-083811","53","23D","THEFT FROM BUILDING","722 S VALENTINE ST","LITTLE ROCK","AR",72205,34.744979,-92.31328,"722 S VALENTINE ST
LITTLE ROCK, AR 72205
(34.744979, -92.31328)","2018-07-06","Jul",2018,"Fri",21
"132","07-13-2018 03:00:00 AM","2018-087210","40","240","MOTOR VEHICLE THEFT","200 RIVER MARKET AVE","LITTLE ROCK","AR",72201,34.746468,-92.265717,"200 RIVER MARKET AVE
LITTLE ROCK, AR 72201
(34.746468, -92.265717)","2018-07-13","Jul",2018,"Fri",3
"148","07-05-2018 02:30:00 PM","2018-083075","62","23C","SHOPLIFTING","6800 COLONEL GLENN RD","LITTLE ROCK","AR",72204,34.719481,-92.352717,"6800 COLONEL GLENN RD
LITTLE ROCK, AR 72204
(34.719481, -92.352717)","2018-07-05","Jul",2018,"Thu",14
"149","07-06-2018 04:53:00 PM","2018-083710","64","23C","SHOPLIFTING","2600 S SHACKLEFORD RD","LITTLE ROCK","AR",72205,34.732425,-92.394725,"2600 S SHACKLEFORD RD
LITTLE ROCK, AR 72205
(34.732425, -92.394725)","2018-07-06","Jul",2018,"Fri",16
"150","07-12-2018 06:21:00 AM","2018-086653","82","23F","THEFT FROM MOTOR VEHICLE","30 VALLEY DR","LITTLE ROCK","AR",72209,34.660606,-92.356094,"30 VALLEY DR
LITTLE ROCK, AR 72209
(34.660606, -92.356094)","2018-07-12","Jul",2018,"Thu",6
"151","07-14-2018 06:00:00 PM","2018-087729","50","23H","ALL OTHER LARCENY","5305 A ST","LITTLE ROCK","AR",72205,34.752901,-92.332001,"5305 A ST
LITTLE ROCK, AR 72205
(34.752901, -92.332001)","2018-07-14","Jul",2018,"Sat",18
"168","07-10-2018 10:00:00 AM","2018-085362","60","23G","THEFT OF MOTOR VEHICLE PARTS","500 S UNIVERSITY AVE","LITTLE ROCK","AR",72205,34.748623,-92.341248,"500 S UNIVERSITY AVE
LITTLE ROCK, AR 72205
(34.748623, -92.341248)","2018-07-10","Jul",2018,"Tue",10
"169","07-09-2018 08:30:00 PM","2018-085893","50","23F","THEFT FROM MOTOR VEHICLE","219 N CEDAR ST","LITTLE ROCK","AR",72205,34.753098,-92.317391,"219 N CEDAR ST
LITTLE ROCK, AR 72205
(34.753098, -92.317391)","2018-07-09","Jul",2018,"Mon",20
"170","07-04-2018 08:00:00 AM","2018-084906","61","23D","THEFT FROM BUILDING","7701 W 25TH ST","LITTLE ROCK","AR",72204,34.730766,-92.360642,"7701 W 25TH ST
LITTLE ROCK, AR 72204
(34.730766, -92.360642)","2018-07-04","Jul",2018,"Wed",8
"171","07-07-2018 04:40:00 PM","2018-084150","40","23F","THEFT FROM MOTOR VEHICLE","300 W 8TH ST","LITTLE ROCK","AR",72201,34.761067,-92.270087,"300 W 8TH ST
LITTLE ROCK, AR 72201
(34.761067, -92.270087)","2018-07-07","Jul",2018,"Sat",16
"172","07-09-2018 04:49:00 PM","2018-084991","64","23C","SHOPLIFTING","2600 S SHACKLEFORD RD","LITTLE ROCK","AR",72205,34.732425,-92.394725,"2600 S SHACKLEFORD RD
LITTLE ROCK, AR 72205
(34.732425, -92.394725)","2018-07-09","Jul",2018,"Mon",16
"173","07-12-2018 08:10:00 PM","2018-086511","63","220","BURGLARY/B&E","7811 CANTRELL RD","LITTLE ROCK","AR",72227,34.77417,-92.361403,"7811 CANTRELL RD
LITTLE ROCK, AR 72227
(34.77417, -92.361403)","2018-07-12","Jul",2018,"Thu",20
"194","07-15-2018 01:30:00 AM","2018-087709","40","23H","ALL OTHER LARCENY","1323 CUMBERLAND ST","LITTLE ROCK","AR",72202,34.735016,-92.270439,"1323 CUMBERLAND ST
LITTLE ROCK, AR 72202
(34.735016, -92.270439)","2018-07-15","Jul",2018,"Sun",1
"195","07-01-2018 02:00:00 PM","2018-083038","42","23D","THEFT FROM BUILDING","6703 DOVE LN","LITTLE ROCK","AR",72206,34.7179,-92.194293,"6703 DOVE LN
LITTLE ROCK, AR 72206
(34.7179, -92.194293)","2018-07-01","Jul",2018,"Sun",14
"196","07-12-2018 10:28:00 AM","2018-086277","41","23C","SHOPLIFTING","2415 BROADWAY ST","LITTLE ROCK","AR",72206,34.724941,-92.278825,"2415 BROADWAY ST
LITTLE ROCK, AR 72206
(34.724941, -92.278825)","2018-07-12","Jul",2018,"Thu",10
"212","07-14-2018 02:30:00 PM","2018-087345","81","13A","AGGRAVATED ASSAULT","8717 GEYER SPRINGS RD","LITTLE ROCK","AR",72209,34.67039,-92.344271,"8717 GEYER SPRINGS RD
LITTLE ROCK, AR 72209
(34.67039, -92.344271)","2018-07-14","Jul",2018,"Sat",14
"213","07-14-2018 02:30:00 PM","2018-087345","81","13A","AGGRAVATED ASSAULT","8717 GEYER SPRINGS RD","LITTLE ROCK","AR",72209,34.67039,-92.344271,"8717 GEYER SPRINGS RD
LITTLE ROCK, AR 72209
(34.67039, -92.344271)","2018-07-14","Jul",2018,"Sat",14
"214","07-10-2018 08:00:00 PM","2018-085993","93","23H","ALL OTHER LARCENY","13401 OTTER CREEK PKWY","LITTLE ROCK","AR",72210,34.658172,-92.426285,"13401 OTTER CREEK PKWY
LITTLE ROCK, AR 72210
(34.658172, -92.426285)","2018-07-10","Jul",2018,"Tue",20
"215","07-14-2018 10:00:00 PM","2018-087722","91","23F","THEFT FROM MOTOR VEHICLE","10914 VERNON DR","LITTLE ROCK","AR",72209,34.651063,-92.36148,"10914 VERNON DR
LITTLE ROCK, AR 72209
(34.651063, -92.36148)","2018-07-14","Jul",2018,"Sat",22
"216","07-09-2018 05:00:00 PM","2018-085513","43","23H","ALL OTHER LARCENY","3110 WALTERS RD","LITTLE ROCK","AR",72206,34.705444,-92.246543,"3110 WALTERS RD
LITTLE ROCK, AR 72206
(34.705444, -92.246543)","2018-07-09","Jul",2018,"Mon",17
"217","07-03-2018 04:15:00 AM","2018-081724","91","23H","ALL OTHER LARCENY","9910 MABELVALE MAIN ST","LITTLE ROCK","AR",72103,34.654915,-92.387877,"9910 MABELVALE MAIN ST
LITTLE ROCK, AR 72103
(34.654915, -92.387877)","2018-07-03","Jul",2018,"Tue",4
"218","07-03-2018 04:00:00 PM","2018-086000","53","23H","ALL OTHER LARCENY","2315 S PINE ST","LITTLE ROCK","AR",72204,34.729912,-92.317444,"2315 S PINE ST
LITTLE ROCK, AR 72204
(34.729912, -92.317444)","2018-07-03","Jul",2018,"Tue",16
"219","07-07-2018 06:00:00 PM","2018-084623","64","23G","THEFT OF MOTOR VEHICLE PARTS","10434 W 36TH ST","LITTLE ROCK","AR",72205,34.721222,-92.391724,"10434 W 36TH ST
LITTLE ROCK, AR 72205
(34.721222, -92.391724)","2018-07-07","Jul",2018,"Sat",18
"240","07-12-2018 06:05:00 PM","2018-086467","81","13A","AGGRAVATED ASSAULT","8701 INTERSTATE 30","LITTLE ROCK","AR",72209,34.678997,-92.347123,"8701 INTERSTATE 30
LITTLE ROCK, AR 72209
(34.678997, -92.347123)","2018-07-12","Jul",2018,"Thu",18
"241","07-06-2018 02:20:00 AM","2018-083523","72","23F","THEFT FROM MOTOR VEHICLE","201 ENSBURY DR","LITTLE ROCK","AR",72223,NA,NA,"201 ENSBURY DR
LITTLE ROCK, AR 72223","2018-07-06","Jul",2018,"Fri",2
"242","07-12-2018 06:00:00 AM","2018-086507","70","13A","AGGRAVATED ASSAULT","500 MIMI LN","LITTLE ROCK","AR",72202,34.757715,-92.397838,"500 MIMI LN
LITTLE ROCK, AR 72202
(34.757715, -92.397838)","2018-07-12","Jul",2018,"Thu",6
"259","07-04-2018 11:30:00 AM","2018-082397","92","220","BURGLARY/B&E","115 VILLAGE BEND DR","LITTLE ROCK","AR",72002,NA,NA,"115 VILLAGE BEND DR
LITTLE ROCK, AR 72002","2018-07-04","Jul",2018,"Wed",11
"260","07-09-2018 03:30:00 PM","2018-085249","71","23H","ALL OTHER LARCENY","15617 CHENAL PKWY","LITTLE ROCK","AR",72211,34.757249,-92.44495,"15617 CHENAL PKWY
LITTLE ROCK, AR 72211
(34.757249, -92.44495)","2018-07-09","Jul",2018,"Mon",15
"261","07-08-2018 02:34:00 AM","2018-084340","54","23G","THEFT OF MOTOR VEHICLE PARTS","4314 ASHER AVE","LITTLE ROCK","AR",72204,34.724482,-92.322441,"4314 ASHER AVE
LITTLE ROCK, AR 72204
(34.724482, -92.322441)","2018-07-08","Jul",2018,"Sun",2
"262","07-15-2018 06:00:00 PM","2018-088114","80","23F","THEFT FROM MOTOR VEHICLE","4813 TERRA VISTA CIR","LITTLE ROCK","AR",72209,34.691173,-92.331835,"4813 TERRA VISTA CIR
LITTLE ROCK, AR 72209
(34.691173, -92.331835)","2018-07-15","Jul",2018,"Sun",18
"263","07-04-2018 08:35:00 PM","2018-082640","61","23H","ALL OTHER LARCENY","8700 LABETTE DR","LITTLE ROCK","AR",72204,34.736557,-92.371201,"8700 LABETTE DR
LITTLE ROCK, AR 72204
(34.736557, -92.371201)","2018-07-04","Jul",2018,"Wed",20
"285","07-11-2018 11:46:00 AM","2018-085856","72","23F","THEFT FROM MOTOR VEHICLE","4819 BELLA ROSA DR","LITTLE ROCK","AR",72223,34.797719,-92.450352,"4819 BELLA ROSA DR
LITTLE ROCK, AR 72223
(34.797719, -92.450352)","2018-07-11","Jul",2018,"Wed",11
"286","07-08-2018 05:34:00 PM","2018-084575","81","23D","THEFT FROM BUILDING","5412 BASELINE RD","LITTLE ROCK","AR",72209,34.668888,-92.33831,"5412 BASELINE RD
LITTLE ROCK, AR 72209
(34.668888, -92.33831)","2018-07-08","Jul",2018,"Sun",17
"300","07-10-2018 10:44:00 PM","2018-085641","82","220","BURGLARY/B&E","5114 LOETSCHER LN","LITTLE ROCK","AR",72209,34.662308,-92.336288,"5114 LOETSCHER LN
LITTLE ROCK, AR 72209
(34.662308, -92.336288)","2018-07-10","Jul",2018,"Tue",22
"301","07-15-2018 12:44:00 AM","2018-087609","53","120","ROBBERY","2117 S CEDAR ST","LITTLE ROCK","AR",72204,34.731787,-92.318526,"2117 S CEDAR ST
LITTLE ROCK, AR 72204
(34.731787, -92.318526)","2018-07-15","Jul",2018,"Sun",0
"302","07-14-2018 08:52:00 PM","2018-087500","53","13A","AGGRAVATED ASSAULT","3304 W 27TH ST","LITTLE ROCK","AR",72204,34.726744,-92.310978,"3304 W 27TH ST
LITTLE ROCK, AR 72204
(34.726744, -92.310978)","2018-07-14","Jul",2018,"Sat",20
"303","07-10-2018 08:00:00 AM","2018-085483","80","220","BURGLARY/B&E","89 LANCASTER RD","LITTLE ROCK","AR",72209,34.698137,-92.333723,"89 LANCASTER RD
LITTLE ROCK, AR 72209
(34.698137, -92.333723)","2018-07-10","Jul",2018,"Tue",8
"304","07-10-2018 06:25:00 PM","2018-085527","93","120","ROBBERY","9 NANDINA CIR","LITTLE ROCK","AR",72210,34.652706,-92.431382,"9 NANDINA CIR
LITTLE ROCK, AR 72210
(34.652706, -92.431382)","2018-07-10","Jul",2018,"Tue",18
"305","07-10-2018 04:00:00 AM","2018-085241","50","23F","THEFT FROM MOTOR VEHICLE","204 BEECHWOOD ST","LITTLE ROCK","AR",72205,34.752714,-92.323923,"204 BEECHWOOD ST
LITTLE ROCK, AR 72205
(34.752714, -92.323923)","2018-07-10","Jul",2018,"Tue",4
"306","07-14-2018 11:05:00 AM","2018-087270","53","220","BURGLARY/B&E","1916 JOHNSON ST","LITTLE ROCK","AR",72204,34.733229,-92.308576,"1916 JOHNSON ST
LITTLE ROCK, AR 72204
(34.733229, -92.308576)","2018-07-14","Jul",2018,"Sat",11
"307","07-14-2018 09:10:00 AM","2018-087285","63","220","BURGLARY/B&E","16 EVERGREEN CT","LITTLE ROCK","AR",72227,34.765483,-92.363164,"16 EVERGREEN CT
LITTLE ROCK, AR 72227
(34.765483, -92.363164)","2018-07-14","Jul",2018,"Sat",9
"308","07-14-2018 09:24:00 PM","2018-087520","60","23F","THEFT FROM MOTOR VEHICLE","6914 BLUEBIRD DR","LITTLE ROCK","AR",72205,34.747735,-92.351744,"6914 BLUEBIRD DR
LITTLE ROCK, AR 72205
(34.747735, -92.351744)","2018-07-14","Jul",2018,"Sat",21
"324","07-15-2018 09:28:00 AM","2018-087725","62","120","ROBBERY","3400 S UNIVERSITY AVE","LITTLE ROCK","AR",72204,34.720464,-92.34208,"3400 S UNIVERSITY AVE
LITTLE ROCK, AR 72204
(34.720464, -92.34208)","2018-07-15","Jul",2018,"Sun",9
"325","06-29-2018 01:00:00 PM","2018-085326","40","240","MOTOR VEHICLE THEFT","600 MAIN ST","LITTLE ROCK","AR",72201,34.759292,-92.339713,"600 MAIN ST
LITTLE ROCK, AR 72201
(34.759292, -92.339713)","2018-06-29","Jun",2018,"Fri",13
"326","07-07-2018 02:18:00 PM","2018-084101","80","23F","THEFT FROM MOTOR VEHICLE","6402 BUTLER RD","LITTLE ROCK","AR",72209,34.69122,-92.331814,"6402 BUTLER RD
LITTLE ROCK, AR 72209
(34.69122, -92.331814)","2018-07-07","Jul",2018,"Sat",14
"346","07-11-2018 03:38:00 PM","2018-085965","60","23C","SHOPLIFTING","6000 W MARKHAM ST","LITTLE ROCK","AR",72205,34.752312,-92.342339,"6000 W MARKHAM ST
LITTLE ROCK, AR 72205
(34.752312, -92.342339)","2018-07-11","Jul",2018,"Wed",15
"347","07-09-2018 11:37:00 AM","2018-084866","91","220","BURGLARY/B&E","9413 DARTMOOR DR","LITTLE ROCK","AR",72209,34.665632,-92.375961,"9413 DARTMOOR DR
LITTLE ROCK, AR 72209
(34.665632, -92.375961)","2018-07-09","Jul",2018,"Mon",11
"348","07-13-2018 07:00:00 PM","2018-087278","63","240","MOTOR VEHICLE THEFT","9604 BROOKS CT","LITTLE ROCK","AR",72205,34.756767,-92.381162,"9604 BROOKS CT
LITTLE ROCK, AR 72205
(34.756767, -92.381162)","2018-07-13","Jul",2018,"Fri",19
"363","07-08-2018 11:00:00 AM","2018-084440","54","23D","THEFT FROM BUILDING","5205 W 13TH ST","LITTLE ROCK","AR",72204,34.740106,-92.331375,"5205 W 13TH ST
LITTLE ROCK, AR 72204
(34.740106, -92.331375)","2018-07-08","Jul",2018,"Sun",11
"364","07-10-2018 12:24:00 AM","2018-085170","63","220","BURGLARY/B&E","10000 W MARKHAM ST","LITTLE ROCK","AR",72205,34.753659,-92.385835,"10000 W MARKHAM ST
LITTLE ROCK, AR 72205
(34.753659, -92.385835)","2018-07-10","Jul",2018,"Tue",0
"365","07-15-2018 09:40:00 PM","2018-088131","63","240","MOTOR VEHICLE THEFT","10100 N RODNEY PARHAM RD","LITTLE ROCK","AR",72227,34.765988,-92.386704,"10100 N RODNEY PARHAM RD
LITTLE ROCK, AR 72227
(34.765988, -92.386704)","2018-07-15","Jul",2018,"Sun",21
"366","07-11-2018 04:49:00 PM","2018-085998","54","13A","AGGRAVATED ASSAULT","4024 W 17TH ST","LITTLE ROCK","AR",72204,34.735996,-92.318369,"4024 W 17TH ST
LITTLE ROCK, AR 72204
(34.735996, -92.318369)","2018-07-11","Jul",2018,"Wed",16
"367","07-13-2018 10:30:00 PM","2018-087549","93","23F","THEFT FROM MOTOR VEHICLE","29 AUGUSTA CT","LITTLE ROCK","AR",72210,34.677174,-92.422053,"29 AUGUSTA CT
LITTLE ROCK, AR 72210
(34.677174, -92.422053)","2018-07-13","Jul",2018,"Fri",22
"368","07-15-2018 10:00:00 PM","2018-088104","50","23F","THEFT FROM MOTOR VEHICLE","3802 KAVANAUGH BLVD","LITTLE ROCK","AR",72205,34.763892,-92.330633,"3802 KAVANAUGH BLVD
LITTLE ROCK, AR 72205
(34.763892, -92.330633)","2018-07-15","Jul",2018,"Sun",22
"387","07-09-2018 09:00:00 AM","2018-084826","50","23D","THEFT FROM BUILDING","1501 N UNIVERSITY AVE","LITTLE ROCK","AR",72207,34.765791,-92.340775,"1501 N UNIVERSITY AVE
LITTLE ROCK, AR 72207
(34.765791, -92.340775)","2018-07-09","Jul",2018,"Mon",9
"408","07-06-2018 06:30:00 AM","2018-083472","63","23D","THEFT FROM BUILDING","8101 CANTRELL RD","LITTLE ROCK","AR",72227,34.776653,-92.364166,"8101 CANTRELL RD
LITTLE ROCK, AR 72227
(34.776653, -92.364166)","2018-07-06","Jul",2018,"Fri",6
"409","07-13-2018 01:00:00 AM","2018-086993","51","11A","RAPE","","","",NA,NA,NA,"","2018-07-13","Jul",2018,"Fri",1
"410","07-05-2018 11:41:00 AM","2018-082993","80","23C","SHOPLIFTING","5200 W 65TH ST","LITTLE ROCK","AR",72209,34.690453,-92.334419,"5200 W 65TH ST
LITTLE ROCK, AR 72209
(34.690453, -92.334419)","2018-07-05","Jul",2018,"Thu",11
"411","07-15-2018 07:45:00 PM","2018-088073","50","23F","THEFT FROM MOTOR VEHICLE","5602 I ST","LITTLE ROCK","AR",72205,34.760174,-92.335755,"5602 I ST
LITTLE ROCK, AR 72205
(34.760174, -92.335755)","2018-07-15","Jul",2018,"Sun",19
"412","01-01-2018 08:00:00 AM","2018-086306","80","23H","ALL OTHER LARCENY","31 ELMHURST DR","LITTLE ROCK","AR",72209,34.703548,-92.332512,"31 ELMHURST DR
LITTLE ROCK, AR 72209
(34.703548, -92.332512)","2018-01-01","Jan",2018,"Mon",8
"431","07-15-2018 04:20:00 PM","2018-087851","53","120","ROBBERY","3824 W 10TH ST","LITTLE ROCK","AR",72204,34.742279,-92.316719,"3824 W 10TH ST
LITTLE ROCK, AR 72204
(34.742279, -92.316719)","2018-07-15","Jul",2018,"Sun",16
"432","07-04-2018 07:00:00 AM","2018-082611","64","23G","THEFT OF MOTOR VEHICLE PARTS","9601 BAPTIST HEALTH DR","LITTLE ROCK","AR",72205,34.745439,-92.381804,"9601 BAPTIST HEALTH DR
LITTLE ROCK, AR 72205
(34.745439, -92.381804)","2018-07-04","Jul",2018,"Wed",7
"433","07-07-2018 06:00:00 PM","2018-086006","52","23H","ALL OTHER LARCENY","1222 W 19TH ST","LITTLE ROCK","AR",72206,34.730985,-92.288009,"1222 W 19TH ST
LITTLE ROCK, AR 72206
(34.730985, -92.288009)","2018-07-07","Jul",2018,"Sat",18
"434","07-06-2018 03:46:00 AM","2018-083443","81","240","MOTOR VEHICLE THEFT","7501 INTERSTATE 30","LITTLE ROCK","AR",72209,34.678997,-92.347123,"7501 INTERSTATE 30
LITTLE ROCK, AR 72209
(34.678997, -92.347123)","2018-07-06","Jul",2018,"Fri",3
"435","06-17-2018 07:49:00 AM","2018-073778","92","23H","ALL OTHER LARCENY","205 GLASSROCK DR","ALEXANDER","AR",72202,34.746481,-92.289595,"205 GLASSROCK DR
ALEXANDER, AR 72202
(34.746481, -92.289595)","2018-06-17","Jun",2018,"Sun",7
"436","07-13-2018 11:30:00 PM","2018-087237","93","23F","THEFT FROM MOTOR VEHICLE","2 OLYMPIA CT","LITTLE ROCK","AR",72210,34.677104,-92.420928,"2 OLYMPIA CT
LITTLE ROCK, AR 72210
(34.677104, -92.420928)","2018-07-13","Jul",2018,"Fri",23
"453","06-27-2018 12:00:00 PM","2018-084943","54","23D","THEFT FROM BUILDING","4512 W 29TH ST","LITTLE ROCK","AR",72204,34.725289,-92.324645,"4512 W 29TH ST
LITTLE ROCK, AR 72204
(34.725289, -92.324645)","2018-06-27","Jun",2018,"Wed",12
"454","07-11-2018 07:22:00 PM","2018-086054","70","13A","AGGRAVATED ASSAULT","4710 SAM PECK RD","LITTLE ROCK","AR",72223,34.795679,-92.4149,"4710 SAM PECK RD
LITTLE ROCK, AR 72223
(34.795679, -92.4149)","2018-07-11","Jul",2018,"Wed",19
"455","07-15-2018 03:30:00 AM","2018-087754","91","220","BURGLARY/B&E","10011 INTERSTATE 30","LITTLE ROCK","AR",72209,34.672428,-92.374567,"10011 INTERSTATE 30
LITTLE ROCK, AR 72209
(34.672428, -92.374567)","2018-07-15","Jul",2018,"Sun",3
"456","07-13-2018 05:00:00 PM","2018-086994","53","220","BURGLARY/B&E","1920 VALMAR ST","LITTLE ROCK","AR",72204,34.733125,-92.312756,"1920 VALMAR ST
LITTLE ROCK, AR 72204
(34.733125, -92.312756)","2018-07-13","Jul",2018,"Fri",17
"457","07-10-2018 09:00:00 PM","2018-085785","40","240","MOTOR VEHICLE THEFT","217 E. 27TH","LITTLE ROCK","AR",72202,34.746641,-92.268153,"217 E. 27TH
LITTLE ROCK, AR 72202
(34.746641, -92.268153)","2018-07-10","Jul",2018,"Tue",21
"458","07-05-2018 04:00:00 PM","2018-083014","72","23D","THEFT FROM BUILDING","17819 CHENAL PKWY","LITTLE ROCK","AR",72223,34.770576,-92.459111,"17819 CHENAL PKWY
LITTLE ROCK, AR 72223
(34.770576, -92.459111)","2018-07-05","Jul",2018,"Thu",16
"476","07-12-2018 05:10:00 AM","2018-086504","62","23F","THEFT FROM MOTOR VEHICLE","8124 W 41ST ST","LITTLE ROCK","AR",72204,34.716009,-92.366571,"8124 W 41ST ST
LITTLE ROCK, AR 72204
(34.716009, -92.366571)","2018-07-12","Jul",2018,"Thu",5
"477","07-10-2018 01:00:00 AM","2018-085186","53","13A","AGGRAVATED ASSAULT","2500 S MARTIN ST","LITTLE ROCK","AR",72204,34.728496,-92.311665,"2500 S MARTIN ST
LITTLE ROCK, AR 72204
(34.728496, -92.311665)","2018-07-10","Jul",2018,"Tue",1
"478","07-06-2018 06:28:00 PM","2018-083746","64","23C","SHOPLIFTING","3500 JOHN BARROW RD","LITTLE ROCK","AR",72204,34.721449,-92.373295,"3500 JOHN BARROW RD
LITTLE ROCK, AR 72204
(34.721449, -92.373295)","2018-07-06","Jul",2018,"Fri",18
"479","07-09-2018 08:15:00 PM","2018-085082","63","23D","THEFT FROM BUILDING","10300 N RODNEY PARHAM RD","LITTLE ROCK","AR",72227,34.766762,-92.387741,"10300 N RODNEY PARHAM RD
LITTLE ROCK, AR 72227
(34.766762, -92.387741)","2018-07-09","Jul",2018,"Mon",20
"480","07-12-2018 11:01:00 PM","2018-086568","90","13A","AGGRAVATED ASSAULT","7700 N CHICOT RD","LITTLE ROCK","AR",72209,34.680481,-92.36261,"7700 N CHICOT RD
LITTLE ROCK, AR 72209
(34.680481, -92.36261)","2018-07-12","Jul",2018,"Thu",23
"481","07-04-2018 12:00:00 PM","2018-086365","82","23H","ALL OTHER LARCENY","3308 GREEN DR","LITTLE ROCK","AR",72209,34.663526,-92.316245,"3308 GREEN DR
LITTLE ROCK, AR 72209
(34.663526, -92.316245)","2018-07-04","Jul",2018,"Wed",12
