"","INCIDENT_NUMBER","LOCATION_DISTRICT","OFFENS_DESCRIPTION","ymd","month","wday","LONGTITUDE","LATITUDE","LOCATION_ADDRESS","CITY","STATE"
"52","2015-041641",62,"Aggravated Robbery ",2015-04-18,4,"Saturday",-92.3432867,34.7168478,"6201 COLONEL RD","Little Rock"," Arkansas"
"53","2015-054462",63,"Aggravated Robbery ",2015-05-18,5,"Monday",-92.3152175,34.7681601,"49 CANTRELL RD","Little Rock"," Arkansas"
"54","2015-063914",91,"Aggravated Robbery ",2015-06-09,6,"Tuesday",-92.3451693,34.6684778,"0 GEYER SPRINGS RD","Little Rock"," Arkansas"
"55","2015-063852",54,"Aggravated Robbery ",2015-06-09,6,"Tuesday",-92.3341039,34.7432604,"925 FAIR PARK","Little Rock"," Arkansas"
"56","2015-069314",54,"Aggravated Robbery ",2015-06-22,6,"Monday",-92.3350286,34.741862,"1100 FAIR PARK","Little Rock"," Arkansas"
"57","2015-075339",91,"Aggravated Robbery ",2015-07-05,7,"Sunday",-92.3697357,34.6498237,"11025 LEGION HUT RD","Little Rock"," Arkansas"
"58","2015-075596",91,"Aggravated Robbery ",2015-07-06,7,"Monday",-92.3757896,34.6497928,"8708 PEA RIDGE","Little Rock"," Arkansas"
"59","2015-078126",52,"Aggravated Robbery ",2015-07-12,7,"Sunday",-92.2973552,34.7314211,"1900 S PARK / 2200 W 19TH ST ST","Little Rock"," Arkansas"
"60","2015-100656",71,"Aggravated Robbery ",2015-09-02,9,"Wednesday",-92.4098766,34.7701135,"1911 RAINWOOD CV","Little Rock"," Arkansas"
"61","2015-126094",54,"Aggravated Robbery ",2015-11-03,11,"Tuesday",-92.2798727,34.7493779,"5 S IZARD ST","Little Rock"," Arkansas"
"62","2015-008884",52,"Ars",2015-01-23,1,"Friday",-92.2904878,34.7149376,"3422 MARTIN LUTHER KING DR","Little Rock"," Arkansas"
"63","2015-108491",42,"Ars",2015-09-21,9,"Monday",-92.200064,34.722213,"6400 FOURCHE DAM","Little Rock"," Arkansas"
"64","2015-115213",91,"Ars",2015-10-07,10,"Wednesday",-92.3689453,34.6735274,"9701 I30 DR","Little Rock"," Arkansas"
"65","2015-011421",54,"Battery 1st degree",2015-01-30,1,"Friday",-92.3350286,34.741862,"1100 FAIR PARK","Little Rock"," Arkansas"
"66","2015-030118",80,"Battery 1st degree",2015-03-21,3,"Saturday",-92.3376323,34.7022128,"5204 MABLEVALE PK","Little Rock"," Arkansas"
"67","2015-040406",82,"Battery 1st degree",2015-04-15,4,"Wednesday",-92.3180547,34.6678467,"9004 W HILARO SPRINGS ST","Little Rock"," Arkansas"
"68","2015-053707",51,"Battery 1st degree",2015-05-17,5,"Sunday",-92.2917481,34.737545,"1300 MARSHALL ST","Little Rock"," Arkansas"
"69","2015-058336",54,"Battery 1st degree",2015-05-27,5,"Wednesday",-92.2585063,34.7364902,"16 COLLEGE ST","Little Rock"," Arkansas"
"70","2015-132814",51,"Battery 1st degree",2015-11-20,11,"Friday",-92.2927781,34.7503694,"9 S BATTERY ST","Little Rock"," Arkansas"
"71","2015-139470",64,"Battery 1st degree",2015-12-07,12,"Monday",-92.3457789,34.71887,"6310 COLONE GLENN RD","Little Rock"," Arkansas"
"72","2015-140684",64,"Battery 1st degree",2015-12-11,12,"Friday",-92.3791638,34.746133,"9400 BAPTIST HEALTH DR","Little Rock"," Arkansas"
"73","2015-015643",41,"Battery 2nd degree",2015-02-10,2,"Tuesday",-92.2715294,34.7226434,"2700 E 27TH ST","Little Rock"," Arkansas"
"74","2015-043607",54,"Battery 2nd degree",2015-04-23,4,"Thursday",-92.3215075,34.7431982,"4307 W MARYLAND","Little Rock"," Arkansas"
"75","2015-044492",40,"Battery 2nd degree",2015-04-25,4,"Saturday",-92.2669245,34.7479329,"322 E PRESIDENT CLINTON","Little Rock"," Arkansas"
"76","2015-054354",92,"Battery 2nd degree",2015-05-18,5,"Monday",-92.381752,34.651853,"9401 MABELVALE","Little Rock"," Arkansas"
"77","2015-089737",42,"Battery 2nd degree",2015-08-07,8,"Friday",-92.2445475,34.7383628,"907 J L HAWKINS ST","Little Rock"," Arkansas"
"78","2015-091059",42,"Battery 2nd degree",2015-08-10,8,"Monday",-92.2589005,34.7428069,"2024 E CAPITOL / 500 FLETCHER ST AV","Little Rock"," Arkansas"
"79","2015-105847",64,"Battery 2nd degree",2015-09-12,9,"Saturday",-92.4021156,34.7457401,"11501 FINANCIAL CENTRE","Little Rock"," Arkansas"
"80","2015-107701",52,"Battery 2nd degree",2015-09-18,9,"Friday",-92.2895482,34.7257717,"2400 S MARTIN LUTHER KING BL","Little Rock"," Arkansas"
"81","2015-108657",62,"Battery 2nd degree",2015-09-21,9,"Monday",-92.3570423,34.7155684,"7305 W COLONEL GLENN RD","Little Rock"," Arkansas"
"82","2015-146086",82,"Battery 2nd degree",2015-12-24,12,"Thursday",-92.3239973,34.6646551,"3400 ARAPAHO CT","Little Rock"," Arkansas"
"83","2015-147920",82,"Battery 2nd degree",2015-12-29,12,"Tuesday",-92.353192,34.6560306,"6512 MABELVALE CUTOFF CO","Little Rock"," Arkansas"
"84","2015-004327",40,"Breaking ",2015-01-12,1,"Monday",-92.2895948,34.7464809,"100 E LAHARPE","Little Rock"," Arkansas"
"85","2015-006208",81,"Breaking ",2015-01-17,1,"Saturday",-92.2701863,34.7438531,"121 E CAPITAL ST","Little Rock"," Arkansas"
"86","2015-008572",91,"Breaking ",2015-01-23,1,"Friday",-92.3731289,34.6473823,"8401 OXFORD VALLEY DR","Little Rock"," Arkansas"
"87","2015-008556",91,"Breaking ",2015-01-23,1,"Friday",-92.3692345,34.6454708,"8 CHURCHILL DR","Little Rock"," Arkansas"
"88","2015-009044",54,"Breaking ",2015-01-24,1,"Saturday",-92.3347396,34.7302815,"2321 FAIR PARK","Little Rock"," Arkansas"
"89","2015-009772",91,"Breaking ",2015-01-25,1,"Sunday",-92.3772164,34.6514496,"8900 SHILOH DR","Little Rock"," Arkansas"
"90","2015-012534",93,"Breaking ",2015-02-02,2,"Monday",-92.4294544,34.6591092,"13600 OTTER CREEK","Little Rock"," Arkansas"
"91","2015-018790",91,"Breaking ",2015-02-19,2,"Thursday",-92.3724541,34.6488856,"11201 APPOMATTOX DR","Little Rock"," Arkansas"
"92","2015-022563",72,"Breaking ",2015-03-01,3,"Sunday",-92.4877971,34.8175116,"6426 THE DIVIDE","Little Rock"," Arkansas"
"93","2015-026249",90,"Breaking ",2015-03-12,3,"Thursday",-92.4060054,34.7063095,"401 COLONEL GLENN PLAZA","Little Rock"," Arkansas"
"94","2015-028464",92,"Breaking ",2015-03-16,3,"Monday",-92.413673,34.6300016,"28 PONDS EDGE LN","Little Rock"," Arkansas"
"95","2015-035546",93,"Breaking ",2015-04-03,4,"Friday",-92.429611,34.6704145,"9 WIMBLEDON GREEN","Little Rock"," Arkansas"
"96","2015-039991",92,"Breaking ",2015-04-14,4,"Tuesday",-92.3928908,34.6667077,"10800 W I-30 HW","Little Rock"," Arkansas"
"97","2015-045120",93,"Breaking ",2015-04-26,4,"Sunday",-92.429611,34.6704145,"5 WIMBLEDON GREEN","Little Rock"," Arkansas"
"98","2015-045055",64,"Breaking ",2015-04-26,4,"Sunday",-92.3972252,34.7485992,"10900 FINANCIAL CENTRE","Little Rock"," Arkansas"
"99","2015-045029",64,"Breaking ",2015-04-26,4,"Sunday",-92.4001093,34.7461247,"11301 FINANCIAL CENTRE","Little Rock"," Arkansas"
"100","2015-045028",64,"Breaking ",2015-04-26,4,"Sunday",-92.4001093,34.7461247,"11301 FINANCIAL CENTRE","Little Rock"," Arkansas"
"101","2015-044997",64,"Breaking ",2015-04-26,4,"Sunday",-92.3972252,34.7485992,"10900 FINANCIAL CENTRE","Little Rock"," Arkansas"
"102","2015-044972",64,"Breaking ",2015-04-26,4,"Sunday",-92.3972252,34.7485992,"10900 FINANCIAL CENTRE","Little Rock"," Arkansas"
"103","2015-044951",93,"Breaking ",2015-04-26,4,"Sunday",-92.429611,34.6704145,"14 WIMBLEDON GREEN","Little Rock"," Arkansas"
"104","2015-050665",91,"Breaking ",2015-05-09,5,"Saturday",-92.3678272,34.6538128,"10603 LEGION HUT RD","Little Rock"," Arkansas"
"105","2015-055345",92,"Breaking ",2015-05-20,5,"Wednesday",-92.4162154,34.6352095,"12609 VIMY RIDGE RD","Little Rock"," Arkansas"
"106","2015-056772",71,"Breaking ",2015-05-24,5,"Sunday",-92.4272214,34.7506588,"21 MARKHAM PLACE","Little Rock"," Arkansas"
"107","2015-060855",64,"Breaking ",2015-06-02,6,"Tuesday",-92.3972252,34.7485992,"10900 FINANCIAL CENTRE","Little Rock"," Arkansas"
"108","2015-064164",54,"Breaking ",2015-06-09,6,"Tuesday",-92.3347011,34.7229026,"3201 FAIR PARK","Little Rock"," Arkansas"
"109","2015-063641",70,"Breaking ",2015-06-09,6,"Tuesday",-92.4351172,34.8026027,"0 CANTRELL RD","Little Rock"," Arkansas"
"110","2015-065058",64,"Breaking ",2015-06-12,6,"Friday",-92.4001093,34.7461247,"11301 FINANCIAL CENTRE","Little Rock"," Arkansas"
"111","2015-065339",64,"Breaking ",2015-06-13,6,"Saturday",-92.4001093,34.7461247,"11301 FINANCIAL CENTRE","Little Rock"," Arkansas"
"112","2015-070417",80,"Breaking ",2015-06-15,6,"Monday",-92.3339967,34.7212108,"3401 FAIR PARK","Little Rock"," Arkansas"
"113","2015-066623",71,"Breaking ",2015-06-16,6,"Tuesday",-92.4055452,34.795379,"11800 PLESANT RIDGE DR","Little Rock"," Arkansas"
"114","2015-068451",70,"Breaking ",2015-06-20,6,"Saturday",-92.4054496,34.7961036,"11720 PLEASANT RIDGE","Little Rock"," Arkansas"
"115","2015-069557",92,"Breaking ",2015-06-22,6,"Monday",-92.4022157,34.6508982,"11205 OTTER CREEK SOUTH RD","Little Rock"," Arkansas"
"116","2015-070153",71,"Breaking ",2015-06-24,6,"Wednesday",-92.4454571,34.739559,"15501 CAPITOL HILL","Little Rock"," Arkansas"
"117","2015-070025",71,"Breaking ",2015-06-24,6,"Wednesday",-92.4426101,34.739994,"15509 CAPITOL HILL","Little Rock"," Arkansas"
"118","2015-069971",71,"Breaking ",2015-06-24,6,"Wednesday",-92.4426101,34.739994,"15505 CAPITOL HILL","Little Rock"," Arkansas"
"119","2015-072814",92,"Breaking ",2015-06-29,6,"Monday",-92.3915641,34.662529,"10219 SIBLEY HOLE RD","Little Rock"," Arkansas"
"120","2015-072592",91,"Breaking ",2015-06-30,6,"Tuesday",-92.3655718,34.6439865,"7704 CLAYBROOK RD","Little Rock"," Arkansas"
"121","2015-074022",62,"Breaking ",2015-07-03,7,"Friday",-92.3637509,34.7126975,"7919 COL GLENN RD","Little Rock"," Arkansas"
"122","2015-079631",40,"Breaking ",2015-07-15,7,"Wednesday",-92.262678,34.7470497,"100 S FERRY ST","Little Rock"," Arkansas"
"123","2015-079466",90,"Breaking ",2015-07-15,7,"Wednesday",-92.3848525,34.629659,"9424 WOODLAND DR","Little Rock"," Arkansas"
"124","2015-079380",90,"Breaking ",2015-07-15,7,"Wednesday",-92.2895948,34.7464809,"0 FRONTAGE RD","Little Rock"," Arkansas"
"125","2015-084211",63,"Breaking ",2015-07-24,7,"Friday",-92.3716262,34.6365123,"8500 CASTLE VALLEY RD","Little Rock"," Arkansas"
"126","2015-084291",81,"Breaking ",2015-07-25,7,"Saturday",-92.304131,34.688131,"0 W 65TH ST","Little Rock"," Arkansas"
"127","2015-086120",93,"Breaking ",2015-07-30,7,"Thursday",-92.42156,34.670428,"1908 STAGECOACH VILLAGE CT","Little Rock"," Arkansas"
"128","2015-088450",92,"Breaking ",2015-08-04,8,"Tuesday",-92.4176676,34.6269202,"13624 VIMY RIDGE RD","Little Rock"," Arkansas"
"129","2015-090757",64,"Breaking ",2015-08-10,8,"Monday",-92.4001093,34.7461247,"11301 FINANCIAL CENTRE","Little Rock"," Arkansas"
"130","2015-091681",50,"Breaking ",2015-08-11,8,"Tuesday",-92.2703803,34.7481034,"7 W MARKHAM ST","Little Rock"," Arkansas"
"131","2015-093456",72,"Breaking ",2015-08-16,8,"Sunday",-92.4870792,34.8149491,"6400 THE DIVIDE","Little Rock"," Arkansas"
"132","2015-096304",91,"Breaking ",2015-08-23,8,"Sunday",-92.3635627,34.6354665,"12611 CHICOT RD","Little Rock"," Arkansas"
"133","2015-098645",62,"Breaking ",2015-08-25,8,"Tuesday",-92.2660331,34.733559,"1400 BRAGG ST","Little Rock"," Arkansas"
"134","2015-097205",60,"Breaking ",2015-08-25,8,"Tuesday",-92.3506374,34.778291,"0 PINE VALLEY RD","Little Rock"," Arkansas"
"135","2015-105212",93,"Breaking ",2015-09-13,9,"Sunday",-92.3884584,34.6557356,"10402 MABELVALE","Little Rock"," Arkansas"
"136","2015-105783",71,"Breaking ",2015-09-14,9,"Monday",-92.4372767,34.7353498,"17 WEATHERSTONE PT","Little Rock"," Arkansas"
"137","2015-106372",64,"Breaking ",2015-09-15,9,"Tuesday",-92.3978427,34.7483934,"10920 FINANCIAL CENTRE","Little Rock"," Arkansas"
"138","2015-108552",70,"Breaking ",2015-09-21,9,"Monday",-92.4054678,34.7960934,"11716 PLEASANT RIDGE","Little Rock"," Arkansas"
"139","2015-114522",54,"Breaking ",2015-10-02,10,"Friday",-92.3353281,34.7289285,"2500 FAIR PARK","Little Rock"," Arkansas"
"140","2015-117476",42,"Breaking ",2015-10-12,10,"Monday",-92.191372,34.711085,"8900 FOURCHE DAM","Little Rock"," Arkansas"
"141","2015-117159",64,"Breaking ",2015-10-12,10,"Monday",-92.352151,34.6632615,"43 CHAUTAUS DR","Little Rock"," Arkansas"
"142","2015-119661",43,"Breaking ",2015-10-17,10,"Saturday",-92.2537444,34.7061486,"105 LEGACY","Little Rock"," Arkansas"
"143","2015-120081",40,"Breaking ",2015-10-18,10,"Sunday",-92.2639324,34.7431783,"200 FERRY ST","Little Rock"," Arkansas"
"144","2015-124149",93,"Breaking ",2015-10-29,10,"Thursday",-92.4227158,34.6718538,"25 SOUTHERN HILLS","Little Rock"," Arkansas"
"145","2015-125430",51,"Breaking ",2015-11-01,11,"Sunday",-92.2677669,34.7475173,"301 E PRESIDENT CLINTON","Little Rock"," Arkansas"
"146","2015-125726",93,"Breaking ",2015-11-02,11,"Monday",-92.4239599,34.67221,"15 SOUTHERN HILLS","Little Rock"," Arkansas"
"147","2015-125718",93,"Breaking ",2015-11-02,11,"Monday",-92.4239599,34.67221,"15 SOUTHERN HILLS","Little Rock"," Arkansas"
"148","2015-126978",92,"Breaking ",2015-11-05,11,"Thursday",-92.395281,34.638212,"10405 ALEXANDER RD","Little Rock"," Arkansas"
"149","2015-126963",92,"Breaking ",2015-11-05,11,"Thursday",-92.3954514,34.6408398,"10403 ALEXANDER RD","Little Rock"," Arkansas"
"150","2015-128834",50,"Breaking ",2015-11-09,11,"Monday",-92.3124789,34.7650791,"3615 OLD CANTRELL RD","Little Rock"," Arkansas"
"151","2015-130113",70,"Breaking ",2015-11-13,11,"Friday",-92.3775728,34.6764113,"3100 MABELVALE","Little Rock"," Arkansas"
"152","2015-133987",91,"Breaking ",2015-11-23,11,"Monday",-92.3683863,34.6518367,"8017 E LEGION RD","Little Rock"," Arkansas"
"153","2015-135663",54,"Breaking ",2015-11-25,11,"Wednesday",-92.3353281,34.7289285,"2500 FAIR PARK","Little Rock"," Arkansas"
"154","2015-141732",64,"Breaking ",2015-12-13,12,"Sunday",-92.4018539,34.7482874,"11500 FINANCIAL CENTRE","Little Rock"," Arkansas"
"155","2015-144957",70,"Breaking ",2015-12-21,12,"Monday",-92.383159,34.7996139,"1 TWO RIVERS PARK BRIDGE DR","Little Rock"," Arkansas"
"156","2014-002343",71,"Breaking ",2014-01-05,1,"Sunday",-92.2895948,34.7464809,"3421 OVER CREEK PASS DR","Little Rock"," Arkansas"
"157","2014-002323",60,"Breaking ",2014-01-06,1,"Monday",-92.3457394,34.7489929,"15 S NOTTINGHAM ST","Little Rock"," Arkansas"
"158","2014-002306",91,"Breaking ",2014-01-06,1,"Monday",-92.3733602,34.6485873,"8510 KENNESAW MOUNTAIN DR","Little Rock"," Arkansas"
"159","2014-004901",71,"Breaking ",2014-01-13,1,"Monday",-92.4156935,34.7446396,"11 POINT WEST","Little Rock"," Arkansas"
"160","2014-004860",64,"Breaking ",2014-01-13,1,"Monday",-92.3799465,34.7318109,"9620 MONIQUE DR","Little Rock"," Arkansas"
"161","2015-005342",40,"Breaking ",2015-01-14,1,"Wednesday",-92.2622091,34.7363946,"1100 MCGOWAN ST","Little Rock"," Arkansas"
"162","2015-008269",60,"Breaking ",2015-01-21,1,"Wednesday",-92.3438609,34.737361,"200 BITTERSWEET DR","Little Rock"," Arkansas"
"163","2015-008566",91,"Breaking ",2015-01-22,1,"Thursday",-92.3704298,34.6532225,"8213 FAIRWOOD RD","Little Rock"," Arkansas"
"164","2015-008564",91,"Breaking ",2015-01-22,1,"Thursday",-92.3746713,34.6504192,"10923 MARKS MILL CT","Little Rock"," Arkansas"
"165","2014-012547",90,"Breaking ",2014-01-31,1,"Friday",-92.4060054,34.7063095,"401 COLONEL GLENN PLAZA","Little Rock"," Arkansas"
"166","2015-012487",93,"Breaking ",2015-02-01,2,"Sunday",-92.4293435,34.6708337,"1 WIMBLEDON GREEN","Little Rock"," Arkansas"
"167","2014-012529",52,"Breaking ",2014-02-02,2,"Sunday",-92.2809081,34.7154317,"3324 S ARCH ST","Little Rock"," Arkansas"
"168","2015-012926",72,"Breaking ",2015-02-02,2,"Monday",-92.4716775,34.8139816,"111 VALLEY RANCH","Little Rock"," Arkansas"
"169","2014-015737",60,"Breaking ",2014-02-11,2,"Tuesday",-92.3482454,34.7663292,"1 BROADVIEW TERRACE DR","Little Rock"," Arkansas"
"170","2014-019180",72,"Breaking ",2014-02-20,2,"Thursday",-92.4877971,34.8175116,"6412 THE DIVIDE","Little Rock"," Arkansas"
"171","2015-020254",71,"Breaking ",2015-02-22,2,"Sunday",-92.4426101,34.739994,"15505 CAPITOL HILL","Little Rock"," Arkansas"
"172","2015-022777",71,"Breaking ",2015-03-01,3,"Sunday",-92.4242597,34.7572676,"13500 W CHENAL PARKWAY ST","Little Rock"," Arkansas"
"173","2014-028877",72,"Breaking ",2014-03-05,3,"Wednesday",-92.4557595,34.7971865,"302 GARDEN VALLEY","Little Rock"," Arkansas"
"174","2014-025984",54,"Breaking ",2014-03-10,3,"Monday",-92.3351249,34.7321729,"2118 FAIR PARK","Little Rock"," Arkansas"
"175","2014-026464",91,"Breaking ",2014-03-11,3,"Tuesday",-92.374787,34.6498122,"11019 MARKS MILL CT","Little Rock"," Arkansas"
"176","2015-027844",92,"Breaking ",2015-03-13,3,"Friday",-92.4022157,34.6508982,"11205 OTTER CREEK SOUTH RD","Little Rock"," Arkansas"
"177","2014-029243",71,"Breaking ",2014-03-14,3,"Friday",-92.289988,34.7438376,"5398 INTERSTATE 630","Little Rock"," Arkansas"
"178","2014-035832",64,"Breaking ",2014-03-31,3,"Monday",-92.3972252,34.7485992,"10900 FINANCIAL CENTRE","Little Rock"," Arkansas"
"179","2014-035275",64,"Breaking ",2014-04-01,4,"Tuesday",-92.3972252,34.7485992,"10900 FINANCIAL CENTRE","Little Rock"," Arkansas"
"180","2014-038467",50,"Breaking ",2014-04-10,4,"Thursday",-92.3247506,34.766138,"3802 CRESTWOOD DR","Little Rock"," Arkansas"
"181","2014-040810",91,"Breaking ",2014-04-15,4,"Tuesday",-92.3711238,34.6527772,"8300 SPANN RD","Little Rock"," Arkansas"
"182","2015-043625",71,"Breaking ",2015-04-22,4,"Wednesday",-92.4426101,34.739994,"15509 CAPITOL HILL","Little Rock"," Arkansas"
"183","2015-044129",64,"Breaking ",2015-04-23,4,"Thursday",-92.4001093,34.7461247,"11301 FINANCIAL CENTRE","Little Rock"," Arkansas"
